t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
374543,352.79998779296875,11.15772819519043,6.129356384277344,0.0,0.0
374553,352.9499816894531,13.078412055969238,6.129356384277344,0.0,0.0
374563,353.1000061035156,14.038753509521484,6.129356384277344,0.0,0.0
374573,353.25,14.52029037475586,6.129356384277344,0.0,0.0
374582,353.54998779296875,22.259241104125977,6.129356384277344,0.0,0.0
374593,353.70001220703125,18.63053321838379,6.129356384277344,0.0,0.0
374602,354.0,24.314363479614258,6.129356384277344,0.0,0.0
374613,354.29998779296875,27.157642364501953,6.129356384277344,0.0,0.0
374623,354.6000061035156,28.57928466796875,6.129356384277344,0.0,0.0
374633,354.8999938964844,29.288740158081055,6.129356384277344,0.0,0.0
374643,355.3499755859375,37.144378662109375,6.129356384277344,0.0,0.0
374653,355.6499938964844,33.57265090942383,6.129356384277344,0.0,0.0
374663,356.1000061035156,39.28633117675781,6.129356384277344,0.0,0.0
374673,356.4000244140625,34.64362716674805,6.129356384277344,0.0,0.0
374682,356.8500061035156,39.82182312011719,6.129356384277344,0.0,0.0
374693,357.3000183105469,42.41092300415039,6.129356384277344,0.0,0.0
374702,357.5999755859375,36.20455551147461,6.129356384277344,0.0,0.0
374713,358.20001220703125,48.10319900512695,6.129356384277344,0.0,0.0
374723,358.6499938964844,46.551605224609375,6.129356384277344,0.0,0.0
374733,359.10003662109375,45.775814056396484,6.129356384277344,0.0,0.0
374743,359.5500183105469,45.387916564941406,6.129356384277344,0.0,0.0
374753,0.0,45.19346618652344,6.129356384277344,0.0,0.0
374763,0.45000001788139343,45.09673309326172,6.129356384277344,0.0,0.0
374773,0.9000000357627869,45.04836654663086,6.129356384277344,0.0,0.0
374782,1.1999999284744263,37.5241813659668,6.129356384277344,0.0,0.0
374793,1.8000000715255737,48.76209259033203,6.129356384277344,0.0,0.0
374802,2.0999999046325684,39.381038665771484,6.129356384277344,0.0,0.0
374813,2.549999713897705,42.19051742553711,6.129356384277344,0.0,0.0
374823,3.0,43.59526824951172,6.129356384277344,0.0,0.0
374833,3.450000286102295,44.297630310058594,6.129356384277344,0.0,0.0
374843,3.75,37.14881896972656,6.129356384277344,0.0,0.0
374853,4.199999809265137,41.074398040771484,6.129356384277344,0.0,0.0
374863,4.5,35.53721618652344,6.129356384277344,0.0,0.0
374873,4.949999809265137,40.26859664916992,6.129356384277344,0.0,0.0
374882,5.09999942779541,27.634292602539062,6.129356384277344,0.0,0.0
374893,5.549999713897705,36.31715393066406,6.129356384277344,0.0,0.0
374902,5.699999809265137,25.658571243286133,6.129356384277344,0.0,0.0
374913,6.0,27.829299926757812,6.129356384277344,0.0,0.0
374923,6.300000190734863,28.914642333984375,6.129356384277344,0.0,0.0
374933,6.450000286102295,21.95731544494629,6.129356384277344,0.0,0.0
374943,6.750000476837158,25.97867202758789,6.129356384277344,0.0,0.0
374953,6.90000057220459,20.48933219909668,6.129356384277344,0.0,0.0
374963,7.049999713897705,17.744659423828125,6.129356384277344,0.0,0.0
374973,7.049999713897705,8.872329711914062,6.129356384277344,0.0,0.0
374982,7.200000286102295,11.936182022094727,6.129356384277344,0.0,0.0
374993,7.200000286102295,5.968091011047363,6.129356384277344,0.0,0.0
375002,7.349999904632568,10.484020233154297,6.129356384277344,0.0,0.0
375013,7.349999904632568,5.242010116577148,6.129356384277344,0.0,0.0
375023,7.349999904632568,2.621005058288574,6.129356384277344,0.0,0.0
375033,7.200000286102295,-6.18947172164917,6.129356384277344,0.0,0.0
375043,7.200000286102295,-3.094735860824585,6.129356384277344,0.0,0.0
375053,7.049999713897705,-9.047386169433594,6.129356384277344,0.0,0.0
375063,6.90000057220459,-12.023689270019531,6.129356384277344,0.0,0.0
375073,6.750000476837158,-13.5118408203125,6.129356384277344,0.0,0.0
375082,6.59999942779541,-14.255937576293945,6.129356384277344,0.0,0.0
375093,6.450000286102295,-14.627964973449707,6.129356384277344,0.0,0.0
375102,6.150000095367432,-22.313974380493164,6.129356384277344,0.0,0.0
375113,5.849999904632568,-26.157001495361328,6.129356384277344,0.0,0.0
375123,5.699999809265137,-20.5784969329834,6.129356384277344,0.0,0.0
375133,5.399999618530273,-25.28923797607422,6.129356384277344,0.0,0.0
375143,5.09999942779541,-27.644634246826172,6.129356384277344,0.0,0.0
375153,4.650000095367432,-36.322303771972656,6.129356384277344,0.0,0.0
375163,4.350000381469727,-33.1611442565918,6.129356384277344,0.0,0.0
375173,4.049999713897705,-31.580585479736328,6.129356384277344,0.0,0.0
375182,3.6000001430511475,-38.290279388427734,6.129356384277344,0.0,0.0
375193,3.299999713897705,-34.1451530456543,6.129356384277344,0.0,0.0
375202,2.8499999046325684,-39.572574615478516,6.129356384277344,0.0,0.0
375213,2.3999998569488525,-42.28628921508789,6.129356384277344,0.0,0.0
375223,1.9500000476837158,-43.64314270019531,6.129356384277344,0.0,0.0
375233,1.6499998569488525,-36.821571350097656,6.129356384277344,0.0,0.0
375243,1.1999999284744263,-40.91078567504883,6.129356384277344,0.0,0.0
375253,0.75,-42.955387115478516,6.129356384277344,0.0,0.0
375263,0.29999998211860657,-43.97769546508789,6.129356384277344,0.0,0.0
375273,359.8499755859375,-44.489723205566406,6.129356384277344,0.0,0.0
375282,359.3999938964844,-44.744873046875,6.129356384277344,0.0,0.0
375293,358.95001220703125,-44.8724479675293,6.129356384277344,0.0,0.0
375302,358.6499938964844,-37.43531799316406,6.129356384277344,0.0,0.0
375313,358.04998779296875,-48.71858215332031,6.129356384277344,0.0,0.0
375323,357.75,-39.35838317871094,6.129356384277344,0.0,0.0
375333,357.3000183105469,-42.179203033447266,6.129356384277344,0.0,0.0
375343,356.8500061035156,-43.5896110534668,6.129356384277344,0.0,0.0
375353,356.5500183105469,-36.79526901245117,6.129356384277344,0.0,0.0
375363,356.1000061035156,-40.89764404296875,6.129356384277344,0.0,0.0
375373,355.8000183105469,-35.44927978515625,6.129356384277344,0.0,0.0
375382,355.5,-32.72373580932617,6.129356384277344,0.0,0.0
375393,355.0500183105469,-38.86187744140625,6.129356384277344,0.0,0.0
375402,354.8999938964844,-26.931852340698242,6.129356384277344,0.0,0.0
375413,354.6000061035156,-28.465023040771484,6.129356384277344,0.0,0.0
375423,354.29998779296875,-29.23297119140625,6.129356384277344,0.0,0.0
375433,354.0,-29.616945266723633,6.129356384277344,0.0,0.0
375443,353.8500061035156,-22.308021545410156,6.129356384277344,0.0,0.0
375453,353.54998779296875,-26.154470443725586,6.129356384277344,0.0,0.0
375463,353.4000244140625,-20.5767822265625,6.129356384277344,0.0,0.0
375473,353.25,-17.787939071655273,6.129356384277344,0.0,0.0
375482,353.25,-8.893969535827637,6.129356384277344,0.0,0.0
375493,353.1000061035156,-11.947898864746094,6.129356384277344,0.0,0.0
375502,352.9499816894531,-13.47349739074707,6.129356384277344,0.0,0.0
375513,352.9499816894531,-6.736748695373535,6.129356384277344,0.0,0.0
375523,352.9499816894531,-3.3683743476867676,6.129356384277344,0.0,0.0
375533,352.9499816894531,-1.6841871738433838,6.129356384277344,0.0,0.0
375543,352.9499816894531,-0.8420935869216919,6.129356384277344,0.0,0.0
375553,353.1000061035156,7.078500747680664,6.129356384277344,0.0,0.0
375563,353.1000061035156,3.539250373840332,6.129356384277344,0.0,0.0
375573,353.25,9.270538330078125,6.129356384277344,0.0,0.0
375582,353.4000244140625,12.134818077087402,6.129356384277344,0.0,0.0
375593,353.54998779296875,13.566957473754883,6.129356384277344,0.0,0.0
375602,353.70001220703125,14.284391403198242,6.129356384277344,0.0,0.0
375613,354.0,22.14129066467285,6.129356384277344,0.0,0.0
375623,354.1500244140625,18.571557998657227,6.129356384277344,0.0,0.0
375633,354.4499816894531,24.284873962402344,6.129356384277344,0.0,0.0
375643,354.75,27.14289665222168,6.129356384277344,0.0,0.0
375653,355.0500183105469,28.571910858154297,6.129356384277344,0.0,0.0
375663,355.3499755859375,29.285051345825195,6.129356384277344,0.0,0.0
375673,355.6499938964844,29.642986297607422,6.129356384277344,0.0,0.0
375682,355.9499816894531,29.82195281982422,6.129356384277344,0.0,0.0
375693,356.25,29.91007423400879,6.129356384277344,0.0,0.0
375702,356.6999816894531,37.45504379272461,6.129356384277344,0.0,0.0
375713,357.0,33.72798538208008,6.129356384277344,0.0,0.0
375723,357.4499816894531,39.3640022277832,6.129356384277344,0.0,0.0
375733,357.8999938964844,42.182010650634766,6.129356384277344,0.0,0.0
375743,358.20001220703125,36.091468811035156,6.129356384277344,0.0,0.0
375753,358.6499938964844,40.545745849609375,6.129356384277344,0.0,0.0
375763,359.10003662109375,42.77288055419922,6.129356384277344,0.0,0.0
375773,359.5500183105469,43.886451721191406,6.129356384277344,0.0,0.0
375782,359.8499755859375,36.94232177734375,6.129356384277344,0.0,0.0
375793,0.29999998211860657,40.97203826904297,6.129356384277344,0.0,0.0
375802,0.75,42.98602294921875,6.129356384277344,0.0,0.0
375813,1.1999999284744263,43.99300765991211,6.129356384277344,0.0,0.0
375823,1.6499998569488525,44.49650192260742,6.129356384277344,0.0,0.0
375833,2.0999999046325684,44.748252868652344,6.129356384277344,0.0,0.0
375843,2.3999998569488525,37.37412643432617,6.129356384277344,0.0,0.0
375853,2.8499999046325684,41.18706130981445,6.129356384277344,0.0,0.0
375863,3.1500000953674316,35.59353256225586,6.129356384277344,0.0,0.0
