t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u,yref
10091,4.650000095367432,68.98590850830078,-2.318286418914795,-32.84360122680664,-12.0,-0.054945945739746094
10100,5.250000476837158,64.49295806884766,-2.6484873294830322,-32.93185043334961,-12.0,-0.054945945739746094
10111,6.150000095367432,77.24647521972656,-3.081876277923584,-38.135372161865234,-12.0,-0.04761981964111328
10121,6.90000057220459,76.12323760986328,-3.487748384475708,-39.361289978027344,-12.0,-0.062272071838378906
10131,7.649999618530273,75.56159973144531,-3.9004995822906494,-40.318214416503906,-12.0,-0.06959819793701172
10141,8.399999618530273,75.28079986572266,-4.327009201049805,-41.484588623046875,-12.0,0.0036630630493164062
10151,9.149999618530273,75.1404037475586,-4.767277240753174,-42.75568771362305,-12.0,-0.06959819793701172
10161,9.899999618530273,75.07019805908203,-5.207545280456543,-43.39125442504883,-12.0,-0.06959819793701172
10171,10.500000953674316,67.53512573242188,-5.65469217300415,-44.052974700927734,-12.0,-0.04761981964111328
10181,11.25,71.26756286621094,-6.1087188720703125,-44.72780990600586,-12.0,0.0036630630493164062
10190,11.850000381469727,65.6337661743164,-6.521470069885254,-43.00147247314453,-12.0,0.0036630630493164062
10200,12.449999809265137,62.816864013671875,-6.989254951477051,-44.88997268676758,-12.0,-0.04761981964111328
10211,13.19999885559082,68.90843963623047,-7.505194187164307,-48.24195098876953,-12.0,-0.054945945739746094
10221,13.649999618530273,56.954227447509766,-7.972978591918945,-47.51020812988281,-12.0,-0.06959819793701172
10231,14.09999942779541,50.97712326049805,-8.44764232635498,-47.48829650878906,-12.0,-0.054945945739746094
10241,14.550000190734863,47.98857116699219,-8.922306060791016,-47.47734069824219,-12.0,-0.054945945739746094
10251,15.0,46.494293212890625,-9.396970748901367,-47.47189712524414,-12.0,-0.054945945739746094
10261,15.299999237060547,38.247093200683594,-9.871634483337402,-47.469139099121094,-12.0,-0.07692432403564453
10271,15.600000381469727,34.12358474731445,-10.353178024291992,-47.81171798706055,-12.0,-0.07692432403564453
10281,15.90000057220459,32.061824798583984,-10.827841758728027,-47.6390495300293,-12.0,-0.04029369354248047
10291,15.90000057220459,16.030912399291992,-11.3093843460083,-47.896671295166016,-12.0,-0.06959819793701172
10300,16.049999237060547,15.51543140411377,-11.74277400970459,-45.61779022216797,-12.0,-0.054945945739746094
10311,16.19999885559082,15.257689476013184,-12.27247142791748,-49.29376983642578,-12.0,-0.054945945739746094
10321,16.049999237060547,0.12887030839920044,-12.754014015197754,-48.724029541015625,-12.0,-0.04761981964111328
10331,16.049999237060547,0.06443515419960022,-13.235557556152344,-48.43916320800781,-12.0,-0.054945945739746094
10341,15.90000057220459,-7.467756748199463,-13.723979949951172,-48.64072036743164,-12.0,-0.06959819793701172
10351,15.75,-11.233938217163086,-14.205522537231445,-48.39750671386719,7.278938293457031,-0.04761981964111328
10361,15.450000762939453,-20.616918563842773,-14.645791053771973,-46.21216583251953,7.398479461669922,0.0036630630493164062
10371,15.0,-32.808467864990234,-15.003508567810059,-40.991947174072266,8.019421577453613,-0.054945945739746094
10381,14.25,-53.90423583984375,-15.285555839538574,-34.598358154296875,9.418044090270996,-0.04761981964111328
10391,13.19999885559082,-79.45215606689453,-15.498810768127441,-27.96192741394043,11.08511734008789,-0.06959819793701172
10400,12.149999618530273,-92.22607421875,-15.636393547058105,-20.860084533691406,12.0,-0.062272071838378906
10411,10.649999618530273,-121.113037109375,-15.732702255249023,-15.245501518249512,12.0,-0.06959819793701172
10421,9.149999618530273,-135.5565185546875,-15.753340721130371,-8.654656410217285,12.0,-0.054945945739746094
10431,7.349999904632568,-157.77825927734375,-15.718944549560547,-2.607510566711426,12.0,-0.06959819793701172
10441,5.549999713897705,-168.88912963867188,-15.636393547058105,2.823791742324829,12.0,-0.07692432403564453
10451,3.6000001430511475,-181.94456481933594,-15.50568962097168,7.947098255157471,12.0,-0.06959819793701172
10461,1.5,-195.9722900390625,-15.326830863952637,12.916481018066406,12.0,-0.054945945739746094
10471,359.3999938964844,-202.98614501953125,-15.106696128845215,17.464982986450195,12.0,-0.06959819793701172
10482,357.1499938964844,-213.99313354492188,-14.852166175842285,21.45897674560547,12.0,-0.054945945739746094
10491,354.75,-226.9961395263672,-14.570119857788086,24.831798553466797,12.0,-0.062272071838378906
10500,352.64996337890625,-218.4985809326172,-14.281193733215332,26.86220359802246,12.0,-0.06959819793701172
10511,349.9499816894531,-244.24932861328125,-13.90971851348877,32.004878997802734,12.0,-0.054945945739746094
10521,347.54998779296875,-242.12425231933594,-13.545121192932129,34.232295989990234,12.0,-0.06959819793701172
10531,345.1499938964844,-241.0617218017578,-13.159886360168457,36.37791061401367,12.0,-0.04761981964111328
10541,342.75,-240.5304718017578,-12.767772674560547,37.794639587402344,12.0,-0.054945945739746094
10551,340.5,-232.76527404785156,-12.355021476745605,39.53486633300781,12.0,-0.054945945739746094
10561,338.2500305175781,-228.88267517089844,-11.935391426086426,40.748939514160156,12.0,0.0036630630493164062
10571,336.0000305175781,-226.94139099121094,-11.502001762390137,42.043922424316406,12.0,-0.06959819793701172
10581,333.8999938964844,-218.47120666503906,-11.061734199523926,43.03537368774414,12.0,-0.054945945739746094
10591,331.79998779296875,-214.23609924316406,-10.61458683013916,43.87505340576172,12.0,-0.054945945739746094
10600,330.1499938964844,-189.61715698242188,-10.208714485168457,42.231117248535156,12.0,-0.054945945739746094
10611,328.0500183105469,-199.80908203125,-9.706534385681152,46.22457504272461,12.0,-0.054945945739746094
10621,326.25,-189.9045867919922,-9.24562931060791,46.157569885253906,12.0,-0.06959819793701172
10631,324.5999755859375,-177.45278930664062,-8.784723281860352,46.12406539916992,12.0,-0.04761981964111328
10641,322.9499816894531,-171.22552490234375,-8.316937446594238,46.4513053894043,12.0,-0.062272071838378906
10651,321.45001220703125,-160.61233520507812,-7.842274188995361,46.95884704589844,12.0,-0.054945945739746094
10661,320.25,-140.30665588378906,-7.367609977722168,47.21261215209961,12.0,-0.06959819793701172
10671,318.8999938964844,-137.65335083007812,-6.892946243286133,47.339500427246094,12.0,-0.04761981964111328
10681,318.0,-113.82669067382812,-6.418282508850098,47.4029426574707,12.0,-0.13553237915039062
10691,317.25,-94.41381072998047,-5.936739444732666,47.77863693237305,12.0,-0.04761981964111328
