t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
47402,19.049999237060547,-69.0428237915039,-17.782699584960938,1.686815785686544e-20,0.0
47413,18.149999618530273,-79.52143096923828,-17.782699584960938,8.43407892843272e-21,0.0
47423,17.25,-84.76073455810547,-17.782699584960938,4.21703946421636e-21,0.0
47433,16.19999885559082,-94.88035583496094,-17.782699584960938,2.10851973210818e-21,0.0
47443,15.149999618530273,-99.94017028808594,-17.782699584960938,1.05425986605409e-21,0.0
47453,14.09999942779541,-102.47007751464844,-17.782699584960938,5.27129933027045e-22,0.0
47463,13.050000190734863,-103.73502349853516,-17.782699584960938,2.635649665135225e-22,0.0
47473,11.850000381469727,-111.86752319335938,-17.782699584960938,1.3178248325676126e-22,0.0
47482,10.649999618530273,-115.93376922607422,-17.782699584960938,6.589124162838063e-23,0.0
47493,9.300000190734863,-125.46687316894531,-17.782699584960938,3.2945620814190314e-23,0.0
47502,8.09999942779541,-122.73344421386719,-17.782699584960938,1.6472810407095157e-23,0.0
47513,6.59999942779541,-136.36671447753906,-17.782699584960938,8.236405203547579e-24,0.0
47523,5.250000476837158,-135.683349609375,-17.782699584960938,4.118202601773789e-24,0.0
47533,3.9000000953674316,-135.3416748046875,-17.782699584960938,2.0591013008868947e-24,0.0
47543,2.549999713897705,-135.17083740234375,-17.782699584960938,1.0295506504434473e-24,0.0
47553,1.1999999284744263,-135.08541870117188,-17.782699584960938,5.147753252217237e-25,0.0
47563,359.70001220703125,-142.54315185546875,-17.782699584960938,2.5738766261086183e-25,0.0
47573,358.3499755859375,-138.7716064453125,-17.782699584960938,1.2869383130543092e-25,0.0
47582,357.1499938964844,-129.38629150390625,-17.782699584960938,6.434691565271546e-26,0.0
47593,355.6499938964844,-139.69271850585938,-17.782699584960938,3.217345782635773e-26,0.0
47602,354.29998779296875,-137.3463897705078,-17.782699584960938,1.6086728913178864e-26,0.0
47613,352.9499816894531,-136.1732177734375,-17.782699584960938,8.043364456589432e-27,0.0
47623,351.6000061035156,-135.58663940429688,-17.782699584960938,4.021682228294716e-27,0.0
47633,350.2499694824219,-135.2933349609375,-17.782699584960938,2.010841114147358e-27,0.0
47643,349.04998779296875,-127.64714813232422,-17.782699584960938,1.005420557073679e-27,0.0
47653,347.8500061035156,-123.82270050048828,-17.782699584960938,5.027102785368395e-28,0.0
47663,346.79998779296875,-114.41227722167969,-17.782699584960938,2.5135513926841976e-28,0.0
47673,345.5999755859375,-117.20524597167969,-17.782699584960938,1.2567756963420988e-28,0.0
47682,344.70001220703125,-103.6026382446289,-17.782699584960938,6.283878481710494e-29,0.0
47693,343.5,-111.80180358886719,-17.782699584960938,3.141939240855247e-29,0.0
47702,342.75,-93.40000915527344,-17.782699584960938,1.5709696204276235e-29,0.0
47713,341.6999816894531,-99.20093536376953,-17.782699584960938,7.854848102138117e-30,0.0
47723,340.95001220703125,-87.09957122802734,-17.782699584960938,3.927424051069059e-30,0.0
47733,340.1999816894531,-81.05025482177734,-17.782699584960938,1.9637120255345294e-30,0.0
47743,339.6000061035156,-70.5246810913086,-17.782699584960938,9.818560127672647e-31,0.0
47753,339.0,-65.26326751708984,-17.782699584960938,4.909280063836323e-31,0.0
47763,338.54998779296875,-55.13164138793945,-17.782699584960938,2.4546400319181617e-31,0.0
47773,338.1000061035156,-50.065826416015625,-17.782699584960938,1.2273200159590808e-31,0.0
