t_ms,theta_deg,theta_dot,x_cm,x_dot_cm,u
11776,340.79998779296875,304.1647644042969,-1.8711391687393188,-21.330108642578125,-12.0
11786,344.25,324.5829162597656,-2.160065174102783,-25.111347198486328,-12.0
11796,347.6999816894531,334.7906188964844,-2.4765076637268066,-28.3778018951416,-12.0
11806,351.45001220703125,354.89630126953125,-2.8135879039764404,-31.04291534423828,-12.0
11815,354.75,342.4477844238281,-3.1437888145446777,-32.0315055847168,-12.0
11826,358.8000183105469,373.7239685058594,-3.5634193420410156,-36.997276306152344,-12.0
11836,2.549999713897705,374.3624572753906,-3.962412118911743,-38.448272705078125,-12.0
11846,6.300000190734863,374.6812438964844,-4.368284225463867,-39.51774978637695,-12.0
11856,10.19999885559082,382.3406066894531,-4.794794082641602,-41.084354400634766,-12.0
11866,13.949999809265137,378.6702880859375,-5.228182792663574,-42.21161651611328,-12.0
11876,17.700000762939453,376.83514404296875,-5.67533016204834,-43.46317672729492,-12.0
11886,21.299999237060547,368.4175720214844,-6.129356384277344,-44.43291091918945,-12.0
11895,24.600000381469727,349.2088317871094,-6.535228252410889,-42.51005172729492,-12.0
11906,28.649999618530273,377.10443115234375,-7.044288635253906,-46.70803451538086,-12.0
11915,31.80000114440918,346.0522766113281,-7.463918685913086,-44.33552169799805,-12.0
11926,35.400001525878906,353.0260314941406,-7.979857921600342,-47.96472930908203,-12.0
11936,38.69999694824219,341.512939453125,-8.44764232635498,-47.37159729003906,-12.0
11946,41.849998474121094,328.25653076171875,-8.922306060791016,-47.41899108886719,-12.0
11956,44.69999694824219,306.62823486328125,-9.396970748901367,-47.44272232055664,-12.0
11966,47.55000305175781,295.8142395019531,-9.878514289855957,-47.79850769042969,-12.0
11976,50.249996185302734,282.9070129394531,-10.36005687713623,-47.976402282714844,-12.0
11986,52.650001525878906,261.45361328125,-10.841599464416504,-48.065345764160156,-12.0
11996,55.04999923706055,250.7267303466797,-11.32314395904541,-48.109859466552734,-12.0
12006,57.150001525878906,230.3633575439453,-11.811565399169922,-48.476036071777344,-12.0
12015,58.94999313354492,205.18153381347656,-12.25183391571045,-46.251426696777344,-12.0
12026,60.900001525878906,200.0910186767578,-12.781530380249023,-49.61055374145508,-12.0
12036,62.54999923706055,182.5453338623047,-13.269953727722168,-49.226417541503906,-12.0
12046,63.900001525878906,158.77268981933594,-13.758376121520996,-49.03435134887695,-12.0
12056,65.25,146.88636779785156,-14.246797561645508,-48.93824005126953,-12.0
12066,66.29999542236328,125.94308471679688,-14.735219955444336,-48.890262603759766,-12.0
12076,67.04999542236328,100.4716796875,-15.22364330291748,-48.86627197265625,-12.0
12086,67.64999389648438,80.23573303222656,-15.712064743041992,-48.85420227050781,-12.0
12096,68.0999984741211,62.61787796020508,-16.20048713684082,-48.84823989868164,-12.0
12106,68.4000015258789,46.30905532836914,-16.68890953063965,-48.84526062011719,-12.0
12115,68.4000015258789,23.15452766418457,-17.129179000854492,-46.43604278564453,-12.0
12126,68.25000762939453,4.077375411987305,-17.67263412475586,-50.39080810546875,-12.0
